date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:16	142/142	---M--	200	added ('OK')	image/png	etag:%228e-50dc01ae34764%22	http://timothylock.ca/wp-content/plugins/themeum-project/images/prettyPhoto/facebook/contentPatternBottom.png	C:/My%20Web%20Sites/timothy/timothylock.ca/wp-content/plugins/themeum-project/images/prettyPhoto/facebook/contentPatternBottom.png	(from http://timothylock.ca/wp-content/plugins/themeum-project/css/prettyPhoto.css?ver=4.1.1)
19:10:17	227/227	---M--	200	added ('OK')	image/gif	etag:%22e3-50dc01ae34764%22	http://timothylock.ca/wp-content/plugins/themeum-project/images/prettyPhoto/facebook/default_thumbnail.gif	C:/My%20Web%20Sites/timothy/timothylock.ca/wp-content/plugins/themeum-project/images/prettyPhoto/facebook/default_thumbnail.gif	(from http://timothylock.ca/wp-content/plugins/themeum-project/css/prettyPhoto.css?ver=4.1.1)
19:10:18	12165/12165	---M-Z	200	added ('OK')	text/xml	etag:%227030ca0122ca307ed6abe2da7b974d6d-gzip%22	http://timothylock.ca/category/blog/feed/	C:/My%20Web%20Sites/timothy/timothylock.ca/category/blog/feed/index.html	(from http://timothylock.ca/category/blog/)
19:10:22	12098/12098	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202015%2023:10:18%20GMT	http://timothylock.ca/reverse-engineering-the-tvpad4/	C:/My%20Web%20Sites/timothy/timothylock.ca/reverse-engineering-the-tvpad4/index.html	(from http://timothylock.ca/category/blog/)
19:10:22	15081/15081	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202015%2023:10:19%20GMT	http://timothylock.ca/author/admin/	C:/My%20Web%20Sites/timothy/timothylock.ca/author/admin/index.html	(from http://timothylock.ca/category/blog/)
19:10:25	12827/12827	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202015%2023:10:23%20GMT	http://timothylock.ca/the-encounter-with-pebble-support/	C:/My%20Web%20Sites/timothy/timothylock.ca/the-encounter-with-pebble-support/index.html	(from http://timothylock.ca/category/blog/)
19:10:26	12702/12702	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202015%2023:10:22%20GMT	http://timothylock.ca/being-a-uoft-student-during-the-strike/	C:/My%20Web%20Sites/timothy/timothylock.ca/being-a-uoft-student-during-the-strike/index.html	(from http://timothylock.ca/category/blog/)
19:10:27	11846/11846	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Apr%202015%2023:10:26%20GMT	http://timothylock.ca/the-hacking-is-real/	C:/My%20Web%20Sites/timothy/timothylock.ca/the-hacking-is-real/index.html	(from http://timothylock.ca/category/blog/)
19:10:40	553579/553579	---M--	200	added ('OK')	image/jpeg	etag:%225309c78b-8726b%22	http://demo.themeum.com/starter/wp-content/uploads/2014/02/slide-image-new.jpg	C:/My%20Web%20Sites/timothy/demo.themeum.com/starter/wp-content/uploads/2014/02/slide-image-new.jpg	(from http://timothylock.ca/)
19:10:41	683/683	---M-Z	200	added ('OK')	text/xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d-gzip%22	http://timothylock.ca/competitions/feed/	C:/My%20Web%20Sites/timothy/timothylock.ca/competitions/feed/index.html	(from http://timothylock.ca/competitions/)
19:10:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Apr%202015%2023:10:41%20GMT	http://timothylock.ca/?p=389	C:/My%20Web%20Sites/timothy/timothylock.ca/index2325.html	(from http://timothylock.ca/competitions/)
19:10:43	14667/14667	---M--	200	added ('OK')	image/png	etag:%22394b-51238c7be94e4%22	http://timothylock.ca/wp-content/uploads/2014/08/mchacks-150x150.png	C:/My%20Web%20Sites/timothy/timothylock.ca/wp-content/uploads/2014/08/mchacks-150x150.png	(from http://timothylock.ca/competitions/)
